Wilayah,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Stunting (%),IKP,Angka Harapan Hidup (tahun),Tanpa Air Bersih (%),Tanpa Listrik (%),Rasio Tenaga Kesehatan
aceh - aceh selatan,0.78,13.18,52.86,27.3,71.02,64.4,46.34,0.0,2.43
aceh - aceh tenggara,0.28,13.41,38.71,34.1,77.39,68.22,41.55,0.0,2.87
aceh - aceh timur,0.52,14.45,32.76,38.2,76.55,68.74,33.96,0.0,2.01
aceh - aceh tengah,2.57,15.26,28.92,34.3,63.93,68.86,42.25,0.24,2.45
aceh - aceh barat,0.56,18.81,38.49,27.4,77.56,67.99,21.76,0.0,1.82
aceh - aceh besar,0.36,14.05,42.98,32.4,81.49,69.79,16.28,0.26,1.74
aceh - pidie,0.39,19.59,48.92,39.3,72.52,66.95,38.86,0.1,0.74
aceh - aceh utara,0.3,17.43,46.27,38.8,75.85,68.81,34.26,0.14,0.72
aceh - simeulue,0.97,18.98,35.65,25.9,74.63,65.28,16.13,0.49,2.13
aceh - aceh singkil,3.97,20.36,42.55,29.6,51.88,67.43,40.41,0.0,2.41
aceh - bireuen,0.47,13.25,55.71,24.3,78.79,71.26,30.81,0.44,0.52
aceh - aceh barat daya,0.36,16.34,41.58,33.2,75.91,65.06,28.54,0.0,1.46
aceh - gayo lues,0.64,19.64,39.67,42.9,72.31,65.53,24.93,0.0,9.9
aceh - aceh jaya,0.31,13.23,45.81,33.7,77.41,67.19,29.9,0.56,4.56
aceh - nagan raya,0.71,18.23,49.36,32.5,74.47,69.24,27.0,0.0,2.39
aceh - aceh tamiang,0.74,13.34,34.54,30.8,79.33,69.63,18.58,0.21,1.18
aceh - bener meriah,5.0,19.16,23.94,40.0,48.14,69.26,39.7,0.0,0.96
aceh - pidie jaya,0.29,19.55,53.05,29.0,76.06,70.18,35.7,0.17,0.65
aceh - kota banda aceh,0.0,7.61,4.24,23.4,84.36,71.52,0.23,0.0,0.02
aceh - kota sabang,0.0,15.32,25.7,23.8,61.7,70.56,6.22,0.0,0.41
aceh - kota lhokseumawe,0.0,11.16,23.87,27.4,69.34,71.64,3.55,0.0,0.09
aceh - kota langsa,0.0,10.96,12.54,25.5,69.15,69.43,8.85,0.0,0.21
aceh - kota subulussalam,0.0,17.65,31.22,41.8,23.93,64.07,50.76,0.0,1.98
sumatera utara - tapanuli tengah,1.27,12.67,40.39,25.3,70.89,67.24,45.6,3.13,1.39
sumatera utara - tapanuli utara,0.32,9.72,57.61,26.7,76.3,68.76,53.68,0.2,2.45
sumatera utara - tapanuli selatan,0.55,8.8,47.64,30.8,72.68,64.97,55.63,5.03,5.79
sumatera utara - nias,0.7,16.82,25.99,32.1,69.99,69.78,65.66,7.6,1.82
sumatera utara - langkat,1.24,10.12,37.53,31.5,75.36,68.97,25.98,0.0,1.83
sumatera utara - karo,0.21,8.79,55.65,25.3,80.36,71.58,44.61,0.83,1.44
sumatera utara - deli serdang,0.85,4.01,21.84,12.5,87.15,71.77,14.7,0.0,0.5
sumatera utara - simalungun,0.51,8.81,35.03,28.0,80.84,71.37,35.87,0.56,1.76
sumatera utara - asahan,2.15,9.35,26.39,18.9,71.65,68.37,29.64,0.4,1.87
sumatera utara - labuhanbatu,1.48,8.74,27.2,27.0,75.83,69.95,32.1,0.01,1.13
sumatera utara - dairi,0.3,8.31,38.01,34.2,80.17,69.19,39.12,0.32,1.98
sumatera utara - toba samosir,0.26,8.99,47.88,24.8,82.79,70.29,28.55,0.55,2.09
sumatera utara - mandailing natal,1.17,9.49,51.54,47.7,66.36,62.65,52.61,1.6,2.92
sumatera utara - nias selatan,0.9,16.92,42.57,36.7,65.8,68.86,68.33,10.78,1.31
sumatera utara - pakpak bharat,0.98,9.35,35.18,40.8,70.52,65.96,57.88,1.05,3.37
sumatera utara - humbang hasundutan,0.39,9.65,42.39,26.7,77.91,69.51,50.38,0.74,3.27
sumatera utara - samosir,0.41,12.68,51.23,28.4,75.06,71.41,56.55,1.56,3.62
sumatera utara - serdang bedagai,0.22,8.3,38.08,20.0,82.13,68.82,35.72,0.05,1.42
sumatera utara - batu bara,0.96,12.38,30.01,30.9,74.65,67.13,34.16,0.21,0.94
sumatera utara - padang lawas utara,1.43,9.92,42.84,33.1,71.74,67.22,35.71,1.05,3.47
sumatera utara - padang lawas,1.6,8.69,38.11,42.0,70.97,67.13,31.81,1.47,3.15
sumatera utara - labuhanbatu selatan,5.0,8.53,20.97,27.0,54.52,68.81,29.48,1.62,3.27
sumatera utara - labuhanbatu utara,1.8,10.02,32.29,30.9,71.34,69.56,35.03,0.74,2.25
sumatera utara - nias utara,0.63,25.66,40.92,34.4,67.12,69.55,54.29,8.79,1.5
sumatera utara - nias barat,1.37,26.42,23.47,27.9,60.6,69.08,80.4,6.71,0.81
sumatera utara - kota medan,0.0,8.34,8.15,19.9,80.93,73.23,3.19,0.0,0.02
sumatera utara - kota pematangsiantar,0.0,8.52,16.58,15.0,78.42,73.77,6.88,0.0,0.03
sumatera utara - kota sibolga,0.0,12.33,26.84,25.8,62.01,69.25,9.39,0.0,0.05
sumatera utara - kota tanjung balai,0.0,13.4,37.0,26.1,53.17,63.44,1.53,0.0,0.12
sumatera utara - kota binjai,0.0,5.81,19.72,21.7,74.89,72.45,10.04,0.0,0.03
sumatera utara - kota tebing tinggi,0.0,10.3,15.85,17.3,66.47,70.95,25.42,0.0,0.03
sumatera utara - kota padang sidimpuan,0.0,7.53,26.64,32.1,57.96,69.5,34.06,0.26,0.1
sumatera utara - kota gunungsitoli,0.0,16.45,24.94,26.3,43.7,71.32,36.46,1.13,0.41
sumatera barat - pesisir selatan,0.43,7.92,27.12,25.2,83.53,70.96,25.51,1.1,3.19
sumatera barat - solok,0.37,8.01,39.9,40.1,78.29,68.79,36.46,0.64,3.48
sumatera barat - sijunjung,0.79,6.8,22.66,30.1,77.88,66.36,35.55,2.06,3.83
sumatera barat - tanah datar,0.3,4.54,34.6,21.5,85.92,70.12,20.71,0.38,1.4
sumatera barat - padang pariaman,0.56,7.22,30.09,28.3,81.14,68.97,26.93,1.58,1.34
sumatera barat - agam,0.45,6.85,29.02,19.1,85.34,72.53,25.1,0.37,1.89
sumatera barat - lima puluh kota,0.44,7.29,38.06,28.2,80.32,69.84,36.53,0.87,3.89
